"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 02, 2019","8,004.07","8,056.42","8,068.80","7,953.67","584.30M","-1.32%"
"Aug 01, 2019","8,111.12","8,190.56","8,311.04","8,080.52","703.64M","-0.79%"
"Jul 31, 2019","8,175.42","8,290.80","8,299.83","8,110.02","758.73M","-1.19%"
"Jul 30, 2019","8,273.61","8,231.77","8,295.46","8,228.02","510.52M","-0.24%"
"Jul 29, 2019","8,293.33","8,325.10","8,325.28","8,247.37","511.48M","-0.44%"
"Jul 26, 2019","8,330.21","8,294.30","8,339.64","8,291.12","529.37M","1.11%"
"Jul 25, 2019","8,238.54","8,294.68","8,295.95","8,233.40","535.59M","-1.00%"
"Jul 24, 2019","8,321.50","8,227.36","8,321.81","8,226.50","528.51M","0.85%"
"Jul 23, 2019","8,251.40","8,242.50","8,251.83","8,193.89","474.75M","0.58%"
"Jul 22, 2019","8,204.14","8,171.99","8,218.42","8,171.54","491.48M","0.71%"
"Jul 19, 2019","8,146.49","8,241.34","8,245.78","8,144.63","520.02M","-0.74%"
"Jul 18, 2019","8,207.24","8,151.76","8,215.58","8,135.12","487.19M","0.27%"
"Jul 17, 2019","8,185.21","8,224.00","8,230.67","8,184.66","473.28M","-0.46%"
"Jul 16, 2019","8,222.80","8,251.66","8,259.75","8,204.23","473.99M","-0.43%"
"Jul 15, 2019","8,258.18","8,263.18","8,264.78","8,236.27","470.85M","0.17%"
"Jul 12, 2019","8,244.14","8,209.20","8,245.66","8,201.52","500.70M","0.59%"
"Jul 11, 2019","8,196.04","8,219.28","8,226.18","8,171.63","483.49M","-0.08%"
"Jul 10, 2019","8,202.53","8,183.19","8,228.60","8,160.56","508.18M","0.75%"
"Jul 09, 2019","8,141.73","8,061.41","8,146.98","8,061.32","468.36M","0.54%"
"Jul 08, 2019","8,098.38","8,112.91","8,112.91","8,078.39","511.73M","-0.78%"
"Jul 05, 2019","8,161.79","8,123.28","8,171.97","8,093.66","425.69M","-0.10%"
"Jul 03, 2019","8,170.23","8,129.57","8,170.23","8,122.34","408.20M","0.75%"
"Jul 02, 2019","8,109.09","8,086.65","8,109.37","8,063.10","488.38M","0.22%"
"Jul 01, 2019","8,091.16","8,145.85","8,150.45","8,059.29","583.42M","1.06%"
"Jun 28, 2019","8,006.24","7,988.76","8,010.15","7,961.46","1.76B","0.48%"
"Jun 27, 2019","7,967.76","7,939.36","7,976.58","7,935.47","523.93M","0.73%"
"Jun 26, 2019","7,909.97","7,933.93","7,974.28","7,903.07","537.92M","0.32%"
"Jun 25, 2019","7,884.72","8,005.27","8,007.31","7,879.15","547.78M","-1.51%"
"Jun 24, 2019","8,005.70","8,040.58","8,047.56","8,004.63","528.18M","-0.32%"
"Jun 21, 2019","8,031.71","8,028.69","8,073.02","8,011.20","1.20B","-0.24%"
"Jun 20, 2019","8,051.34","8,087.45","8,088.88","7,996.87","528.69M","0.80%"
"Jun 19, 2019","7,987.32","7,970.26","7,998.59","7,930.38","536.80M","0.42%"
"Jun 18, 2019","7,953.88","7,920.98","8,005.21","7,911.67","567.69M","1.39%"
"Jun 17, 2019","7,845.02","7,819.43","7,865.98","7,812.61","502.92M","0.62%"
"Jun 14, 2019","7,796.66","7,807.19","7,819.21","7,778.12","465.37M","-0.52%"
"Jun 13, 2019","7,837.13","7,822.56","7,848.36","7,813.60","460.87M","0.57%"
"Jun 12, 2019","7,792.72","7,803.13","7,819.16","7,773.97","481.74M","-0.38%"
"Jun 11, 2019","7,822.57","7,901.04","7,909.99","7,798.63","534.58M","-0.01%"
"Jun 10, 2019","7,823.17","7,798.87","7,895.44","7,795.76","522.20M","1.05%"
"Jun 07, 2019","7,742.10","7,652.97","7,767.02","7,647.91","516.84M","1.66%"
"Jun 06, 2019","7,615.55","7,582.24","7,634.12","7,546.22","542.41M","0.53%"
"Jun 05, 2019","7,575.48","7,585.68","7,589.47","7,498.17","537.32M","0.64%"
"Jun 04, 2019","7,527.12","7,413.94","7,529.50","7,385.02","619.53M","2.65%"
"Jun 03, 2019","7,333.02","7,441.22","7,457.66","7,292.22","658.41M","-1.61%"
"May 31, 2019","7,453.15","7,470.95","7,506.86","7,448.23","590.43M","-1.51%"
"May 30, 2019","7,567.72","7,565.46","7,595.90","7,527.66","454.61M","0.27%"
"May 29, 2019","7,547.31","7,553.02","7,581.11","7,503.94","579.48M","-0.79%"
"May 28, 2019","7,607.35","7,655.66","7,693.74","7,603.76","785.60M","-0.39%"
"May 24, 2019","7,637.01","7,675.57","7,694.15","7,631.25","422.81M","0.11%"
"May 23, 2019","7,628.28","7,660.72","7,665.15","7,585.32","597.20M","-1.58%"
"May 22, 2019","7,750.84","7,749.81","7,786.33","7,738.35","466.48M","-0.45%"
"May 21, 2019","7,785.72","7,765.57","7,804.44","7,752.92","500.28M","1.08%"
"May 20, 2019","7,702.38","7,714.06","7,747.27","7,678.35","551.65M","-1.46%"
"May 17, 2019","7,816.28","7,829.03","7,918.71","7,810.35","579.07M","-1.04%"
"May 16, 2019","7,898.05","7,832.58","7,946.23","7,826.67","532.35M","0.97%"
"May 15, 2019","7,822.15","7,682.80","7,838.72","7,682.24","503.47M","1.13%"
"May 14, 2019","7,734.49","7,689.66","7,776.20","7,665.30","525.13M","1.14%"
"May 13, 2019","7,647.02","7,720.07","7,760.83","7,627.23","650.13M","-3.41%"
"May 10, 2019","7,916.94","7,881.31","7,949.34","7,759.34","587.10M","0.08%"
