"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 03, 2019","0.3155","0.3115","0.3175","0.3109","40.60M","1.28%"
"Aug 02, 2019","0.3115","0.3156","0.3177","0.3086","41.66M","-1.30%"
"Aug 01, 2019","0.3156","0.3194","0.3197","0.3116","49.96M","-1.31%"
"Jul 31, 2019","0.3198","0.3181","0.3232","0.3153","65.54M","0.57%"
"Jul 30, 2019","0.3180","0.3101","0.3215","0.3071","68.50M","2.51%"
"Jul 29, 2019","0.3102","0.3124","0.3143","0.3064","64.66M","-0.51%"
"Jul 28, 2019","0.3118","0.3100","0.3132","0.3010","69.50M","0.61%"
"Jul 27, 2019","0.3099","0.3232","0.3260","0.3059","133.81M","-4.14%"
"Jul 26, 2019","0.3233","0.3134","0.3252","0.3072","74.14M","3.16%"
"Jul 25, 2019","0.3134","0.3152","0.3225","0.3116","77.15M","-0.73%"
"Jul 24, 2019","0.3157","0.3088","0.3190","0.3039","100.30M","2.27%"
"Jul 23, 2019","0.3087","0.3213","0.3213","0.3058","93.37M","-3.92%"
"Jul 22, 2019","0.3213","0.3306","0.3325","0.3161","82.26M","-2.84%"
"Jul 21, 2019","0.3307","0.3320","0.3349","0.3210","101.52M","-0.63%"
"Jul 20, 2019","0.3328","0.3188","0.3403","0.3188","121.98M","4.39%"
"Jul 19, 2019","0.3188","0.3202","0.3219","0.3100","99.69M","-0.31%"
"Jul 18, 2019","0.3198","0.3105","0.3258","0.3037","131.16M","3.06%"
"Jul 17, 2019","0.3103","0.2955","0.3238","0.2926","164.56M","5.26%"
"Jul 16, 2019","0.2948","0.3126","0.3197","0.2855","184.58M","-5.66%"
"Jul 15, 2019","0.3125","0.3036","0.3229","0.2947","181.90M","2.80%"
"Jul 14, 2019","0.3040","0.3323","0.3351","0.2997","168.16M","-8.49%"
"Jul 13, 2019","0.3322","0.3434","0.3443","0.3241","109.04M","-3.23%"
"Jul 12, 2019","0.3433","0.3280","0.3496","0.3205","210.56M","4.47%"
"Jul 11, 2019","0.3286","0.3611","0.3624","0.3188","264.28M","-9.00%"
"Jul 10, 2019","0.3611","0.3936","0.3962","0.3420","251.23M","-8.16%"
"Jul 09, 2019","0.3932","0.4008","0.4066","0.3894","106.54M","-1.99%"
"Jul 08, 2019","0.4012","0.3961","0.4028","0.3917","75.82M","1.16%"
"Jul 07, 2019","0.3966","0.3904","0.4002","0.3870","79.11M","1.61%"
"Jul 06, 2019","0.3903","0.3790","0.4096","0.3789","124.24M","3.04%"
"Jul 05, 2019","0.3788","0.3864","0.3880","0.3740","82.79M","-2.17%"
"Jul 04, 2019","0.3872","0.4049","0.4049","0.3852","111.10M","-4.23%"
"Jul 03, 2019","0.4043","0.3980","0.4061","0.3942","91.19M","1.56%"
"Jul 02, 2019","0.3981","0.4070","0.4106","0.3847","124.44M","-2.11%"
"Jul 01, 2019","0.4067","0.3966","0.4214","0.3889","130.30M","2.57%"
"Jun 30, 2019","0.3965","0.4286","0.4286","0.3955","108.85M","-7.49%"
"Jun 29, 2019","0.4286","0.4262","0.4297","0.4052","110.79M","0.54%"
"Jun 28, 2019","0.4263","0.4106","0.4268","0.4064","150.88M","3.95%"
"Jun 27, 2019","0.4101","0.4673","0.4710","0.3952","342.48M","-12.41%"
"Jun 26, 2019","0.4682","0.4684","0.4964","0.4545","318.10M","-0.02%"
"Jun 25, 2019","0.4683","0.4742","0.4764","0.4576","123.86M","-1.20%"
"Jun 24, 2019","0.4740","0.4700","0.4756","0.4501","125.80M","0.87%"
"Jun 23, 2019","0.4699","0.4774","0.4925","0.4650","161.84M","-1.55%"
"Jun 22, 2019","0.4773","0.4431","0.5077","0.4403","323.17M","7.57%"
"Jun 21, 2019","0.4437","0.4297","0.4476","0.4297","103.67M","3.23%"
"Jun 20, 2019","0.4298","0.4340","0.4358","0.4203","88.56M","-0.99%"
"Jun 19, 2019","0.4341","0.4272","0.4382","0.4241","69.52M","1.62%"
"Jun 18, 2019","0.4272","0.4469","0.4547","0.4201","173.67M","-4.49%"
"Jun 17, 2019","0.4473","0.4272","0.4603","0.4257","134.94M","4.61%"
"Jun 16, 2019","0.4276","0.4093","0.4406","0.4064","151.67M","4.52%"
"Jun 15, 2019","0.4091","0.4021","0.4119","0.4002","75.62M","1.77%"
"Jun 14, 2019","0.4020","0.3988","0.4034","0.3905","78.10M","0.83%"
"Jun 13, 2019","0.3987","0.4007","0.4076","0.3958","73.20M","-0.47%"
"Jun 12, 2019","0.4006","0.3919","0.4020","0.3874","88.67M","2.19%"
"Jun 11, 2019","0.3920","0.3999","0.4019","0.3822","79.46M","-2.02%"
"Jun 10, 2019","0.4001","0.3850","0.4031","0.3801","102.87M","3.73%"
"Jun 09, 2019","0.3857","0.4071","0.4103","0.3681","159.87M","-5.28%"
"Jun 08, 2019","0.4072","0.4191","0.4222","0.4024","84.16M","-2.84%"
"Jun 07, 2019","0.4191","0.4199","0.4302","0.4143","105.72M","-0.05%"
"Jun 06, 2019","0.4193","0.4000","0.4255","0.3904","140.29M","4.85%"
"Jun 05, 2019","0.3999","0.3992","0.4055","0.3879","120.98M","0.38%"
"Jun 04, 2019","0.3984","0.4145","0.4184","0.3852","229.37M","-4.78%"
"Jun 03, 2019","0.4184","0.4441","0.4643","0.4184","237.91M","-5.74%"
"Jun 02, 2019","0.4439","0.4287","0.4466","0.4278","113.96M","3.50%"
"Jun 01, 2019","0.4289","0.4384","0.4412","0.4189","127.61M","-2.19%"
"May 31, 2019","0.4385","0.4180","0.4404","0.4082","163.51M","4.90%"
"May 30, 2019","0.4180","0.4427","0.4725","0.4002","306.82M","-5.60%"
"May 29, 2019","0.4428","0.4486","0.4557","0.4213","196.06M","-1.36%"
"May 28, 2019","0.4489","0.4335","0.4598","0.4180","233.78M","3.48%"
"May 27, 2019","0.4338","0.4038","0.4454","0.4023","225.31M","7.27%"
"May 26, 2019","0.4044","0.3849","0.4130","0.3739","137.45M","4.96%"
"May 25, 2019","0.3853","0.3825","0.3928","0.3804","81.40M","0.68%"
"May 24, 2019","0.3827","0.3795","0.3928","0.3702","158.18M","0.87%"
"May 23, 2019","0.3794","0.3715","0.3826","0.3614","126.82M","2.04%"
"May 22, 2019","0.3718","0.3950","0.4105","0.3673","204.05M","-5.92%"
"May 21, 2019","0.3952","0.3963","0.4067","0.3860","174.57M","-0.33%"
"May 20, 2019","0.3965","0.4161","0.4161","0.3784","239.28M","-4.85%"
"May 19, 2019","0.4167","0.3713","0.4278","0.3700","313.05M","12.14%"
"May 18, 2019","0.3716","0.3881","0.3949","0.3644","179.64M","-4.37%"
"May 17, 2019","0.3886","0.4184","0.4233","0.3602","459.32M","-7.17%"
"May 16, 2019","0.4186","0.4569","0.4785","0.3944","616.81M","-8.42%"
"May 15, 2019","0.4571","0.4101","0.4666","0.4086","516.62M","11.82%"
"May 14, 2019","0.4088","0.3246","0.4209","0.3232","689.23M","25.90%"
"May 13, 2019","0.3247","0.3102","0.3292","0.3082","222.14M","4.61%"
"May 12, 2019","0.3104","0.3204","0.3298","0.3051","278.93M","-3.48%"
"May 11, 2019","0.3216","0.2988","0.3383","0.2985","275.73M","7.63%"
"May 10, 2019","0.2988","0.2948","0.3016","0.2916","86.86M","1.39%"
"May 09, 2019","0.2947","0.2995","0.3015","0.2921","75.23M","-1.57%"
"May 08, 2019","0.2994","0.2984","0.3024","0.2960","76.36M","0.30%"
"May 07, 2019","0.2985","0.3029","0.3071","0.2979","106.58M","-1.42%"
"May 06, 2019","0.3028","0.3002","0.3073","0.2952","94.01M","0.93%"
"May 05, 2019","0.3000","0.3031","0.3050","0.2989","60.37M","-1.02%"
"May 04, 2019","0.3031","0.3079","0.3183","0.2973","129.13M","-1.49%"
"May 03, 2019","0.3077","0.3022","0.3105","0.3007","126.42M","1.69%"
"May 02, 2019","0.3026","0.3031","0.3045","0.3008","62.05M","-0.13%"
"May 01, 2019","0.3030","0.3085","0.3098","0.3000","81.63M","-1.75%"
"Apr 30, 2019","0.3084","0.2931","0.3120","0.2915","126.65M","5.29%"
"Apr 29, 2019","0.2929","0.2995","0.3015","0.2902","76.55M","-2.20%"
"Apr 28, 2019","0.2995","0.2992","0.3026","0.2962","62.83M","0.17%"
"Apr 27, 2019","0.2990","0.3032","0.3048","0.2975","59.65M","-1.39%"
"Apr 26, 2019","0.3032","0.2910","0.3051","0.2885","179.60M","4.01%"
"Apr 25, 2019","0.2915","0.2996","0.3053","0.2841","172.95M","-2.67%"
"Apr 24, 2019","0.2995","0.3181","0.3192","0.2872","274.58M","-5.88%"
"Apr 23, 2019","0.3182","0.3223","0.3262","0.3182","116.93M","-1.24%"
"Apr 22, 2019","0.3222","0.3193","0.3299","0.3165","129.54M","0.88%"
"Apr 21, 2019","0.3194","0.3266","0.3281","0.3139","108.36M","-2.23%"
