"Date","Price","Open","High","Low","Change %"
"May 27, 2019","0.01550","0.01550","0.01550","0.01550","-0.05%"
"May 26, 2019","0.01551","0.01551","0.01551","0.01551","0.05%"
"May 24, 2019","0.01550","0.01540","0.01550","0.01540","0.65%"
"May 23, 2019","0.01540","0.01550","0.01550","0.01540","-0.96%"
"May 22, 2019","0.01555","0.01555","0.01565","0.01555","0.32%"
"May 21, 2019","0.01550","0.01550","0.01550","0.01550","0.00%"
"May 20, 2019","0.01550","0.01540","0.01550","0.01540","0.39%"
"May 19, 2019","0.01544","0.01544","0.01544","0.01544","0.26%"
"May 17, 2019","0.01540","0.01550","0.01550","0.01540","-0.65%"
"May 16, 2019","0.01550","0.01550","0.01550","0.01540","0.00%"
"May 15, 2019","0.01550","0.01540","0.01550","0.01540","0.65%"
"May 14, 2019","0.01540","0.01530","0.01540","0.01530","0.65%"
"May 13, 2019","0.01530","0.01530","0.01540","0.01520","-0.39%"
"May 12, 2019","0.01536","0.01536","0.01536","0.01536","0.07%"
"May 10, 2019","0.01535","0.01535","0.01545","0.01535","0.33%"
"May 09, 2019","0.01530","0.01540","0.01540","0.01530","-0.65%"
"May 08, 2019","0.01540","0.01530","0.01540","0.01530","0.65%"
"May 07, 2019","0.01530","0.01530","0.01540","0.01530","0.00%"
"May 06, 2019","0.01530","0.01540","0.01540","0.01530","-0.42%"
"May 05, 2019","0.01536","0.01536","0.01536","0.01536","-0.23%"
"May 03, 2019","0.01540","0.01530","0.01540","0.01520","0.65%"
"May 02, 2019","0.01530","0.01540","0.01540","0.01520","-0.65%"
"May 01, 2019","0.01540","0.01550","0.01550","0.01540","-0.65%"
"Apr 30, 2019","0.01550","0.01550","0.01550","0.01540","0.00%"
"Apr 29, 2019","0.01550","0.01540","0.01550","0.01540","0.34%"
"Apr 28, 2019","0.01545","0.01545","0.01545","0.01545","0.31%"
"Apr 26, 2019","0.01540","0.01550","0.01550","0.01540","-0.65%"
"Apr 25, 2019","0.01550","0.01550","0.01560","0.01540","0.00%"
"Apr 24, 2019","0.01550","0.01570","0.01570","0.01550","-1.27%"
"Apr 23, 2019","0.01570","0.01570","0.01570","0.01560","0.00%"
"Apr 22, 2019","0.01570","0.01560","0.01570","0.01560","0.56%"
"Apr 21, 2019","0.01561","0.01561","0.01561","0.01561","0.08%"
"Apr 19, 2019","0.01560","0.01570","0.01570","0.01560","-0.64%"
"Apr 18, 2019","0.01570","0.01570","0.01570","0.01560","0.00%"
"Apr 17, 2019","0.01570","0.01560","0.01570","0.01560","0.64%"
"Apr 16, 2019","0.01560","0.01550","0.01560","0.01550","0.32%"
"Apr 15, 2019","0.01555","0.01555","0.01565","0.01555","0.06%"
"Apr 14, 2019","0.01554","0.01554","0.01554","0.01554","-0.06%"
"Apr 12, 2019","0.01555","0.01555","0.01565","0.01555","0.32%"
"Apr 11, 2019","0.01550","0.01560","0.01560","0.01540","-0.64%"
"Apr 10, 2019","0.01560","0.01540","0.01560","0.01540","1.30%"
"Apr 09, 2019","0.01540","0.01540","0.01550","0.01540","0.00%"
"Apr 08, 2019","0.01540","0.01530","0.01540","0.01530","0.63%"
"Apr 07, 2019","0.01530","0.01530","0.01530","0.01530","0.00%"
"Apr 05, 2019","0.01530","0.01530","0.01530","0.01520","0.00%"
"Apr 04, 2019","0.01530","0.01530","0.01540","0.01520","0.00%"
"Apr 03, 2019","0.01530","0.01530","0.01540","0.01530","0.00%"
"Apr 02, 2019","0.01530","0.01530","0.01530","0.01520","0.00%"
"Apr 01, 2019","0.01530","0.01520","0.01530","0.01520","0.42%"
"Mar 31, 2019","0.01524","0.01524","0.01524","0.01524","0.24%"
"Mar 29, 2019","0.01520","0.01540","0.01550","0.01520","-1.30%"
"Mar 28, 2019","0.01540","0.01540","0.01550","0.01530","0.00%"
"Mar 27, 2019","0.01540","0.01550","0.01550","0.01540","-0.65%"
"Mar 26, 2019","0.01550","0.01560","0.01560","0.01550","-0.64%"
"Mar 25, 2019","0.01560","0.01550","0.01560","0.01540","0.87%"
"Mar 24, 2019","0.01547","0.01547","0.01547","0.01547","-0.22%"
"Mar 22, 2019","0.01550","0.01570","0.01570","0.01540","-1.27%"
"Mar 21, 2019","0.01570","0.01560","0.01570","0.01560","0.00%"
"Mar 20, 2019","0.01570","0.01550","0.01570","0.01550","1.29%"
"Mar 19, 2019","0.01550","0.01550","0.01560","0.01550","0.00%"
"Mar 18, 2019","0.01550","0.01540","0.01560","0.01540","0.45%"
"Mar 17, 2019","0.01543","0.01543","0.01543","0.01543","0.20%"
"Mar 15, 2019","0.01540","0.01530","0.01540","0.01520","0.65%"
"Mar 14, 2019","0.01530","0.01530","0.01530","0.01520","0.00%"
"Mar 13, 2019","0.01530","0.01520","0.01530","0.01520","0.66%"
"Mar 12, 2019","0.01520","0.01520","0.01530","0.01520","0.00%"
"Mar 11, 2019","0.01520","0.01500","0.01520","0.01500","0.75%"
"Mar 10, 2019","0.01509","0.01509","0.01509","0.01509","-0.09%"
"Mar 08, 2019","0.01510","0.01510","0.01510","0.01500","0.00%"
"Mar 07, 2019","0.01510","0.01520","0.01520","0.01510","-0.66%"
"Mar 06, 2019","0.01520","0.01520","0.01520","0.01510","0.00%"
"Mar 05, 2019","0.01520","0.01520","0.01520","0.01520","0.00%"
"Mar 04, 2019","0.01520","0.01520","0.01520","0.01520","0.22%"
"Mar 03, 2019","0.01517","0.01517","0.01517","0.01517","-0.22%"
"Mar 01, 2019","0.01520","0.01520","0.01520","0.01510","0.00%"
"Feb 28, 2019","0.01520","0.01520","0.01520","0.01510","0.00%"
"Feb 27, 2019","0.01520","0.01520","0.01520","0.01510","0.00%"
